"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
53,"MDD[","מדד ",,"medir","ser medido","medir",,"extender, medirse, estirar",,,,,,,,,,,
54,"MDH/","מִדָּה I","medida",,,,,,,,,,,,,,,,
13,"MDWN/","מָדֹון I","rina, disputa, contienda, riña, disputa, contienda",,,,,,,,,,,,,,,,
72,"MDW<","מַדּוּעַ ","¿por qué?, ¿por que?, por que ",,,,,,,,,,,,,,,,
16,"MDJ/","מָדַי I","Madai",,,,,,,,,,,,,,,,
10,"MDJN/","מִדְיָן I","Madian, Madián",,,,,,,,,,,,,,,,
59,"MDJN=/","מִדְיָן II","Madián, Madian",,,,,,,,,,,,,,,,
53,"MDJNH/","מְדִינָה ","distrito, provincia",,,,,,,,,,,,,,,,
573,"MH","מָה ","¿qué? ¿cómo? ¿por qué?, ¿que? ¿como? ¿por que?, como, por que ",,,,,,,,,,,,,,,,
12,"MHWMH/","מְהוּמָה ","confusion, panico, confusión, pánico",,,,,,,,,,,,,,,,
81,"MHR[","מהר I",,,"estar apurado, apresurar","acelerar",,,,,,,,,,,,,
20,"MHRH/","מְהֵרָה ","prisa, velocidad; rapidamente, rápidamente",,,,,,,,,,,,,,,,
180,"MW>B/","מֹואָב ","Moab",,,,,,,,,,,,,,,,
16,"MW>BJ/","מֹואָבִי ","Moabita",,,,,,,,,,,,,,,,
17,"MWG[","מוג ",,"derretir, desmayar","tambalear, derretir","ablandar, disolver",,"derretir, fluir",,,,,,,,,,,
36,"MWV[","מוט ",,"dudar, tambalear, bambolear","ser causado tambalearse, ser causado a tambalear",,,"estar bamboleándose","causar tambalearse",,,,,,,,,,
12,"MWVH/","מֹוטָה ","yugo, collar; cargando garrochas",,,,,,,,,,,,,,,,
36,"MWL/","מוּל ","frente (sust); frente a, hacia ",,,,,,,,,,,,,,,,
30,"MWL[","מול I",,"circuncidar","ser circuncidado",,,,,,,,,,,,,,
22,"MWLDT/","מֹולֶדֶת ","descendiente, pariente, descendencia",,,,,,,,,,,,,,,,
51,"MWSR/","מוּסָר I","disciplina, reprensión, corrección, reprension, correccion",,,,,,,,,,,,,,,,
223,"MW<D/","מֹועֵד I","lugar or tiempo fijado; temporada",,,,,,,,,,,,,,,,
36,"MWPT/","מֹופֵת ","señal, presagio, seña, senal, sena",,,,,,,,,,,,,,,,
27,"MWY>/","מֹוצָא I","desembocadura; lo que sale",,,,,,,,,,,,,,,,
27,"MWQC/","מֹוקֵשׁ ","carnada, encanto, trampa",,,,,,,,,,,,,,,,
14,"MWR[","מור ",,,"cambiar",,,,"intercambiar",,,,,,,,,,
11,"MWR>/","מֹורָא ","temor, reverencia, asombro; terror",,,,,,,,,,,,,,,,
20,"MWC[","מושׁ I",,"retirar",,,,,"quitar",,,,,,,,,,
44,"MWCB/","מֹושָׁב ","asiento, morada, vivienda",,,,,,,,,,,,,,,,
161,"MWT/","מָוֶת ","muerte",,,,,,,,,,,,,,,,
835,"MWT[","מות ",,"morir",,"matar",,,"matar, dar muerte","ser asesinado, dar muerte, ser puesto a muerte",,,,,,,,,
401,"MZBX/","מִזְבֵּחַ ","altar",,,,,,,,,,,,,,,,
19,"MZWZH/","מְזוּזָה ","marco de la puerta",,,,,,,,,,,,,,,,
19,"MZMH/","מְזִמָּה ","plan, complot",,,,,,,,,,,,,,,,
57,"MZMWR/","מִזְמֹור ","salmo",,,,,,,,,,,,,,,,
74,"MZRX/","מִזְרָח ","salida del sol, este, Oriente",,,,,,,,,,,,,,,,
32,"MZRQ/","מִזְרָק ","cuenco de aspersión, cuenco de aspersion",,,,,,,,,,,,,,,,
34,"MXH[","מחה I",,"quitar, borrar, aniquilar","ser limpiado, ser aniquilado, ser borrado, ser exterminado",,,,"haberle borrado algo, ser borrado, aniquilado",,,,,,,,,,
15,"MXJR/","מְחִיר I","valor equivalente; precio de mercado, valor comercial",,,,,,,,,,,,,,,,
12,"MXLJ=/","מַחְלִי II","Mahli",,,,,,,,,,,,,,,,
43,"MXLQT/","מַחֲלֹקֶת ","porción, parte, división, porcion, division",,,,,,,,,,,,,,,,
13,"MXMD/","מַחְמָד I","deseable, cosa de valor",,,,,,,,,,,,,,,,
214,"MXNH/","מַחֲנֶה ","campamento, ejército, ejercito",,,,,,,,,,,,,,,,
14,"MXNJM/","מַחֲנַיִם ","Mahanaim",,,,,,,,,,,,,,,,
20,"MXSH/","מַחְסֶה ","refugio, asilo, resguardo",,,,,,,,,,,,,,,,
13,"MXSWR/","מַחְסֹור ","deseo, necesidad",,,,,,,,,,,,,,,,
14,"MXY[","מחץ ",,"arrojar, hacer pedazos",,,,,,,,,,,,,,,
16,"MXYJT/","מַחֲצִית ","medio, centro, mitad",,,,,,,,,,,,,,,,
52,"MXR/","מָחָר ","el próximo día; mañana, el proximo dia; manana",,,,,,,,,,,,,,,,
32,"MXRT/","מָחֳרָת ","el día siguiente, el próximo día",,,,,,,,,,,,,,,,
49,"MXCBH/","מַחֲשָׁבָה ","pensamiento, ingenio",,,,,,,,,,,,,,,,
22,"MXTH/","מַחְתָּה I","brasero",,,,,,,,,,,,,,,,
11,"MXTH=/","מְחִתָּה II","terror, destruccion, ruina, terror, destrucción, ruina",,,,,,,,,,,,,,,,
252,"MVH/","מַטֶּה I","bastón, callado, (vara de mando) tribu, baston",,,,,,,,,,,,,,,,
29,"MVH=/","מִטָּה II","sofá, cama, sofa, cama",,,,,,,,,,,,,,,,
19,"MVH==/","מַטָּה III","abajo, debajo de",,,,,,,,,,,,,,,,
38,"MVR/","מָטָר ","lluvia",,,,,,,,,,,,,,,,
17,"MVR[","מטר ",,,"ser llovido encima",,,,"hacer caer la lluvia",,,,,,,,,,
16,"MVRH/","מַטָּרָה ","blanco; guardar, vigilar",,,,,,,,,,,,,,,,
423,"MJ","מִי ","¿quién?, ¿quien?, quien ",,,,,,,,,,,,,,,,
13,"MJK>L/","מִיכָאֵל ","Miguel, Micael",,,,,,,,,,,,,,,,
33,"MJKH/","מִיכָה ","Miqueas",,,,,,,,,,,,,,,,
21,"MJKJHW/","מִיכָיְהוּ I","Miqueas, Micaias, Micaías",,,,,,,,,,,,,,,,
18,"MJKL=/","מִיכַל II","Mical",,,,,,,,,,,,,,,,
582,"MJM/","מַיִם ","agua",,,,,,,,,,,,,,,,
31,"MJN/","מִין ","clase, especies",,,,,,,,,,,,,,,,
23,"MJCWR/","מִישֹׁור ","terreno plano, planicie",,,,,,,,,,,,,,,,
19,"MJCRJM/","מֵישָׁרִים ","rectitud, justicia, equidad,imparcialidad",,,,,,,,,,,,,,,,
16,"MK>WB/","מַכְאֹוב ","dolor",,,,,,,,,,,,,,,,
48,"MKH/","מַכָּה ","golpe, herida",,,,,,,,,,,,,,,,
17,"MKWN/","מָכֹון ","lugar; apoyo",,,,,,,,,,,,,,,,
25,"MKWNH/","מְכֹונָה ","lugar, morada; apoyo, base",,,,,,,,,,,,,,,,
22,"MKJR/","מָכִיר ","Maquir",,,,,,,,,,,,,,,,
16,"MKSH/","מִכְסֶה I","cubierta",,,,,,,,,,,,,,,,
80,"MKR[","מכר ",,"vender, dar a otros en manos","ser vendido",,,"venderse",,,,,,,,,,,
14,"MKCWL/","מִכְשֹׁול ","ofensa, obstaculo, ofensa, obstáculo",,,,,,,,,,,,,,,,
52,"ML>/","מָלֵא I","lleno, lleno de",,,,,,,,,,,,,,,,
38,"ML>=/","מְלֹא II","plenitud, aquello que llena",,,,,,,,,,,,,,,,
261,"ML>[","מלא ",,"estar lleno, llenar (con), ser llenado (de)","ser lleno de, estar lleno de","llenar, llenar de, cumplir","estar lleno (de)","agregar (contra) ",,,,,,,,,,,
15,"ML>JM/","מִלֻּאִים ","consagracion, ordenacion; ajuste, consagración, ordenación",,,,,,,,,,,,,,,,
213,"ML>K/","מַלְאָךְ ","mensajero, ángel, angel",,,,,,,,,,,,,,,,
105,"ML>KH/","מְלָאכָה ","trabajo, ocupación, tarea",,,,,,,,,,,,,,,,
62,"ML>KT/","מְלֶאכֶת ","trabajo, ocupación, tarea",,,,,,,,,,,,,,,,
38,"MLH/","מִלָּה ","palabra, mensaje",,,,,,,,,,,,,,,,
10,"MLW>/","מִלֹּוא ","terraza; el Milo",,,,,,,,,,,,,,,,
24,"MLWKH/","מְלוּכָה ","monarquia, realeza, monarquía",,,,,,,,,,,,,,,,
24,"MLX/","מֶלַח I","sal",,,,,,,,,,,,,,,,
308,"MLXMH/","מִלְחָמָה ","batalla, guerra",,,,,,,,,,,,,,,,
11,"MLXMT/","מִלְחֶמֶת ","guerra, batalla",,,,,,,,,,,,,,,,
94,"MLV[","מלט I",,,"escapar","entregar, salvar",,"escabullirse, escapar","entregar",,,,,,,,,,
2523,"MLK/","מֶלֶךְ I","rey",,,,,,,,,,,,,,,,
347,"MLK[","מלך I",,"reinar, ser rey",,,,,"hacer rey","ser hecho rey",,,,,,,,,
35,"MLKH/","מַלְכָּה I","reina",,,,,,,,,,,,,,,,
11,"MLKH=/","מִלְכָּה II","Milca, Milcá",,,,,,,,,,,,,,,,
91,"MLKWT/","מַלְכוּת ","dominio, reinado",,,,,,,,,,,,,,,,
15,"MLKJH/","מַלְכִּיָּה ","Malquias, Malquías",,,,,,,,,,,,,,,,
10,"MMKR/","מִמְכָּר ","venta",,,,,,,,,,,,,,,,
93,"MMLKH/","מַמְלָכָה ","reino, dominio, reinado",,,,,,,,,,,,,,,,
24,"MMLKT/","מַמְלֶכֶת ","reino, dominio, reinado",,,,,,,,,,,,,,,,
14,"MMCLT/","מֶמְשֶׁלֶת ","poderio, dominio, poderío",,,,,,,,,,,,,,,,
7562,"MN","מִן I","de, de parte de, porque or por (a causa de); que (comp)",,,,,,,,,,,,,,,,
13,"MN/","מָן I","mana, maná",,,,,,,,,,,,,,,,
12,"MNH/","מָנָה I","porcion (de sacrificio, comida), porción (de sacrificio, comida)",,,,,,,,,,,,,,,,
27,"MNH[","מנה ",,"contar, enumerar","ser contado, ser contable","nombrar, ordenar","ser nombrado",,,,,,,,,,,,
18,"MNWX=/","מָנֹוחַ II","Manoa",,,,,,,,,,,,,,,,
21,"MNWXH/","מְנוּחָה ","lugar de reposo, reposo",,,,,,,,,,,,,,,,
42,"MNWRH/","מְנֹורָה ","candelabro",,,,,,,,,,,,,,,,
211,"MNXH/","מִנְחָה ","regalo, tributo; ofrenda",,,,,,,,,,,,,,,,
29,"MN<[","מנע ",,"detener, retener","ser detenido",,,,,,,,,,,,,,
