"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
71,"HWH[","הוה ",,"zijn, gebeuren",,,,,,,,,,,
7,"HJ>","הִיא ","zij, [copula]",,,,,,,,,,,,
13,"HJKL/","הֵיכַל ","paleis, tempel",,,,,,,,,,,,
3,"HLK/","הֲלָךְ ",,,,,,,,,,,,,
7,"HLK[","הלך ",,"gaan",,"wandelen, kuieren",,,,,,,,,
9,"HMW","הִמֹּו ","zij, hen, [copula]",,,,,,,,,,,,
3,"HMWN","הִמֹּון ","zij, [copula]",,,,,,,,,,,,
3,"HMNJK/","הַמְנִיךְ ","(hals)ketting",,,,,,,,,,,,
16,"HN","הֵן ","indien, of",,,,,,,,,,,,
1,"HRHR/","הַרְהֹר ",,,,,,,,,,,,,
731,"W","וְ ","en, maar, namelijk",,,,,,,,,,,,
1,"ZBN[","זבן ",,"kopen",,,,,,,,,,,
1,"ZHJR/","זְהִיר ","voorzichtig",,,,,,,,,,,,
1,"ZWN[","זון ",,,,,,,,,"gevoed worden",,,,
2,"ZW<[","זוע ",,"beven",,,,,,,,,,,
1,"ZJD[","זיד ",,,,,"arrogant doen",,,,,,,,
6,"ZJW/","זִיו ","?",,,,,,,,,,,,
1,"ZKW/","זָכוּ ","onschuld",,,,,,,,,,,,
2,"ZKRJH/","זְכַרְיָה ","Zacharia",,,,,,,,,,,,
11,"ZMN/","זְמָן ","tijd",,,,,,,,,,,,
1,"ZMN[","זמן ",,,,,,,,,"met elkaar afspreken",,,,
4,"ZMR/","זְמָר I","?muziek",,,,,,,,,,,,
1,"ZMR=/","זַמָּר II","muzikant, zanger",,,,,,,,,,,,
4,"ZN/","זַן ","soort",,,,,,,,,,,,
1,"Z<JR/","זְעֵיר ","klein",,,,,,,,,,,,
1,"Z<Q[","זעק ",,"(uit)schreeuwen",,,,,,,,,,,
1,"ZQP[","זקף ",,"spietsen",,,,,,,,,,,
1,"ZRBBL/","זְרֻבָּבֶל ","Zerubbabel",,,,,,,,,,,,
1,"ZR</","זְרַע ","zaad, nakomelingen",,,,,,,,,,,,
1,"XBWLH/","חֲבוּלָה ","letsel",,,,,,,,,,,,
3,"XBL/","חֲבָל ","letsel, schade",,,,,,,,,,,,
6,"XBL[","חבל ",,,,"letsel toebrengen, verwoesten",,,,,,"verwoest worden, ten onder gaan",,,
3,"XBR/","חֲבַר ","vriend, gezel",,,,,,,,,,,,
1,"XBRH/","חַבְרָה ","vriendin, gezellin",,,,,,,,,,,,
2,"XGJ/","חַגַּי ","Haggai",,,,,,,,,,,,
14,"XD/","חַד ","een",,,,,,,,,,,,
1,"XDH/","חֲדֵה ","borst(kas)",,,,,,,,,,,,
1,"XDWH/","חֶדְוָה ","vreugde",,,,,,,,,,,,
1,"XDT/","חֲדַת ","nieuw",,,,,,,,,,,,
15,"XWH[","חוה ",,,,"bekend maken","bekend maken","bekend maken",,,,,,,
1,"XWR/","חִוָּר ","wit",,,,,,,,,,,,
31,"XZH[","חזה ",,"(in)zien",,,,,,,,,,,
12,"XZW/","חֱזוּ ","verschijning, vizioen",,,,,,,,,,,,
2,"XZWT/","חֲזֹות ",,,,,,,,,,,,,
1,"XV>/","חֲטָא ","zonde",,,,,,,,,,,,
1,"XV>H/","חַטָּאָה ","?",,,,,,,,,,,,
5,"XJ/","חַי ","levend(e)",,,,,,,,,,,,
6,"XJH[","חיה ",,"leven",,,"laten leven",,,,,,,,
20,"XJWH/","חֵיוָה ","dier(en)",,,,,,,,,,,,
2,"XJJN/","חַיִּין ","leven",,,,,,,,,,,,
7,"XJL/","חַיִל ","kracht, leger",,,,,,,,,,,,
14,"XKJM/","חַכִּים ","wijs, wijze",,,,,,,,,,,,
8,"XKMH/","חָכְמָה ","wijsheid",,,,,,,,,,,,
22,"XLM/","חֵלֶם ","droom",,,,,,,,,,,,
4,"XLP[","חלף ",,"voorbij gaan",,,,,,,,,,,
3,"XLQ/","חֲלָק ","aandeel",,,,,,,,,,,,
2,"XMH/","חֲמָה ","woede",,,,,,,,,,,,
6,"XMR/","חֲמַר ","wijn",,,,,,,,,,,,
2,"XNVH/","חִנְטָה ","tarwe",,,,,,,,,,,,
4,"XNKH/","חֲנֻכָּה ","inwijding",,,,,,,,,,,,
2,"XNN[","חנן ",,"genadig zijn",,,,,,,,"smeken",,,
1,"XNNJH/","חֲנַנְיָה ","Chananja",,,,,,,,,,,,
1,"XSJR/","חַסִּיר ","gebrekkig",,,,,,,,,,,,
2,"XSN/","חֱסֵן ","macht",,,,,,,,,,,,
2,"XSN[","חסן ",,,,,"in bezit nemen, in bezit hebben",,,,,,,,
9,"XSP/","חֲסַף ","aardewerk",,,,,,,,,,,,
2,"XYP[","חצף ",,,,,,,,,,,,,
1,"XRB[","חרב ",,,,,,,,"verwoest zijn",,,,,
5,"XRVM/","חַרְטֹּם ","magiër",,,,,,,,,,,,
1,"XRK[","חרך ",,,,,,,,,,"verschroeid zijn",,,
1,"XRY/","חֲרַץ ","heup",,,,,,,,,,,,
1,"XCB[","חשׁב ",,"beschouwen als",,,,,,,,,,,
1,"XCWK/","חֲשֹׁוךְ ","duisternis",,,,,,,,,,,,
1,"XCX[","חשׁח ",,"nodig hebben",,,,,,,,,,,
1,"XCXH/","חַשְׁחָה ","benodigdheid",,,,,,,,,,,,
1,"XCXW/","חַשְׁחוּ ","benodigde ",,,,,,,,,,,,
1,"XCL[","חשׁל ",,"verpletteren",,,,,,,,,,,
1,"XTM[","חתם ",,"verzegelen",,,,,,,,,,,
1,"V>B[","טאב ",,"?goed zijn;  (+ ) goed zijn voor",,,,,,,,,,,
2,"VB/","טָב ","goed",,,,,,,,,,,,
1,"VBX/","טַבַּח ",,,,,,,,,,,,,
2,"VWR/","טוּר ","berg",,,,,,,,,,,,
1,"VWT","טְוָת ",,,,,,,,,,,,,
2,"VJN/","טִין ","klei",,,,,,,,,,,,
5,"VL/","טַל ","dauw",,,,,,,,,,,,
1,"VLL[","טלל ",,,,,"schaduw zoeken, bescherming zoeken",,,,,,,,
30,"V<M/","טְעֵם ","begrip, bevel, verslag",,,,,,,,,,,,
3,"V<M[","טעם ",,,,"te eten geven",,,,,,,,,
2,"VPR/","טְפַר ","nagel, klauw",,,,,,,,,,,,
4,"VRD[","טרד ",,"verdrijven","verdreven worden",,,,,,,,,,
1,"VRPLJ/","טַרְפְּלָי ",,,,,,,,,,,,,
3,"JBL[","יבל ",,,,,"brengen",,,,,,,,
1,"JBCH/","יַבְּשָׁה ","droge (land)",,,,,,,,,,,,
1,"JGR/","יְגַר ","steenhoop",,,,,,,,,,,,
17,"JD/","יַד ","hand, poot, macht",,,,,,,,,,,,
2,"JDH[","ידה ",,,,,"loven",,,,,,,,
47,"JD<[","ידע ",,"(te) weten (komen)",,,"bekend maken",,,,,,,,
28,"JHB[","יהב ",,"geven","gegeven worden",,,,,,"gegeven worden",,,,
7,"JHWD/","יְהוּד ","Juda",,,,,,,,,,,,
10,"JHWDJ/","יְהוּדָי ","Judeeër",,,,,,,,,,,,
16,"JWM/","יֹום ","dag",,,,,,,,,,,,
1,"JWYDQ/","יֹוצָדָק ","Josadak",,,,,,,,,,,,
9,"JZB[","יזב ",,,,,,,"redden",,,,,,
1,"JXV[","יחט ",,,,"?",,,,,,,,,
1,"JVB[","יטב ",,"? bevallen (+)",,,,,,,,,,,
12,"JKL[","יכל ",,"kunnen",,,,,,,,,,,
2,"JM/","יַם ","zee",,,,,,,,,,,,
1,"JSP[","יסף ",,,,,,,,"toegevoegd zijn",,,,,
3,"J<V[","יעט ",,"adviseren",,,,,,,,,,,"met elkaar overleggen"
1,"JY>[","יצא ",,,,,,,"voltooien",,,,,,
1,"JYB[","יצב ",,,,"zekerheid verkrijgen",,,,,,,,,
5,"JYJB/","יַצִּיב ","zeker",,,,,,,,,,,,
8,"JQD[","יקד ",,"branden",,,,,,,,,,,
1,"JQDH/","יְקֵדָה ","branden",,,,,,,,,,,,
2,"JQJR/","יַקִּיר ","moeilijk, eerzaam",,,,,,,,,,,,
7,"JQR/","יְקָר ","eer",,,,,,,,,,,,
26,"JRWCLM/","יְרוּשְׁלֶם ","Jeruzalem",,,,,,,,,,,,
2,"JRX/","יְרַח ","maand",,,,,,,,,,,,
1,"JRKH/","יַרְכָה ","dij",,,,,,,,,,,,
1,"JCW</","יֵשׁוּעַ ","Jesua",,,,,,,,,,,,
8,"JFR>L/","יִשְׂרָאֵל ","Israel",,,,,,,,,,,,
1,"JT","יָת ","[direct object]",,,,,,,,,,,,
5,"JTB[","יתב ",,"(gaan) zitten, verblijven",,,"laten wonen",,,,,,,,
8,"JTJR/","יַתִּיר ","buitengewoon",,,,,,,,,,,,
63,"K","כְּ ","zoals, ongeveer",,,,,,,,,,,,
1,"KDBH/","כִּדְבָה ","leugen",,,,,,,,,,,,
1,"KH","כָּה ","hier",,,,,,,,,,,,
