"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
2,"CW<====/","שֹׁועַ V",,,,,,,,,,,,,,,,,
21,"CW<[","שׁוע ",,,,"råbe om hjælp ",,,,,,,,,,,,,
1,"CW<>/","שׁוּעָא ",,,,,,,,,,,,,,,,,
11,"CW<H/","שַׁוְעָה ",,,,,,,,,,,,,,,,,
7,"CW<L/","שׁוּעָל I",,,,,,,,,,,,,,,,,
1,"CW<L=/","שׁוּעָל II",,,,,,,,,,,,,,,,,
1,"CW<L==/","שׁוּעָל III",,,,,,,,,,,,,,,,,
37,"CW<R/","שֹׁועֵר ",,,,,,,,,,,,,,,,,
3,"CWP=[","שׁוף II",,"hugge",,,,,,,,,,,,,,,
1,"CWP[","שׁוף I",,"knuse",,,,,,,,,,,,,,,
2,"CWPK/","שֹׁופַךְ ",,,,,,,,,,,,,,,,,
1,"CWPMJ/","שׁוּפָמִי ",,,,,,,,,,,,,,,,,
72,"CWPR/","שֹׁופָר ","vædderhorn, trompet",,,,,,,,,,,,,,,,
19,"CWQ/","שֹׁוק I","kølle, ben",,,,,,,,,,,,,,,,
4,"CWQ=/","שׁוּק II",,,,,,,,,,,,,,,,,
3,"CWQ[","שׁוק ",,,,,,,,,,,,,,,,,
2,"CWQQ/","שֹׁוקֵק ",,,,,,,,,,,,,,,,,
79,"CWR/","שֹׁור I","tyr, tyrekalv",,,,,,,,,,,,,,,,
4,"CWR=/","שׁוּר II",,,,,,,,,,,,,,,,,
6,"CWR==/","שׁוּר III",,,,,,,,,,,,,,,,,
2,"CWR=[","שׁור II",,,,,,,,,,,,,,,,,
15,"CWR[","שׁור I",,,,,,,,,,,,,,,,,
4,"FWR[","שׂור ",,,,,,,,,,,,,,,,,
1,"CWRH/","שׁוּרָה ",,,,,,,,,,,,,,,,,
1,"FWRH/","שֹׂורָה ",,,,,,,,,,,,,,,,,
5,"CWRR/","שֹׁורֵר ",,,,,,,,,,,,,,,,,
27,"FWF[","שׂושׂ ",,,,,,,,,,,,,,,,,
1,"CWC>/","שַׁוְשָׁא ",,,,,,,,,,,,,,,,,
17,"CWCN/","שׁוּשַׁן I",,,,,,,,,,,,,,,,,
21,"CWCN=/","שׁוּשַׁן II",,,,,,,,,,,,,,,,,
4,"CWTLX/","שׁוּתֶלַח ",,,,,,,,,,,,,,,,,
3,"CZP[","שׁזף ",,,,,,,,,,,,,,,,,
21,"CZR[","שׁזר ",,,,,,,,,,,,,,,,,
1,"CX/","שַׁח ",,,,,,,,,,,,,,,,,
1,"FX/","שֵׂחַ ",,,,,,,,,,,,,,,,,
23,"CXD/","שֹׁחַד ",,,,,,,,,,,,,,,,,
2,"CXD[","שׁחד ",,,,,,,,,,,,,,,,,
2,"CXH[","שׁחה ",,,,,,,,,,,,,,,,,
3,"FXH[","שׂחה ",,,,,,,,,,,,,,,,,
1,"FXW/","שָׂחוּ ",,,,,,,,,,,,,,,,,
15,"FXWQ/","שְׂחֹוק ",,,,,,,,,,,,,,,,,
1,"CXWR/","שְׁחֹור ",,,,,,,,,,,,,,,,,
1,"CXWT/","שְׁחוּת ",,,,,,,,,,,,,,,,,
18,"CXX[","שׁחח ",,,,,,,,,,,,,,,,,
5,"CXV=[","שׁחט II",,,,,,,,,,,,,,,,,
80,"CXV[","שׁחט I",,"slagte","slagtes",,,,,,,,,,,,,,
1,"FXV[","שׂחט ",,,,,,,,,,,,,,,,,
1,"CXVH/","שַׁחֲטָה ",,,,,,,,,,,,,,,,,
1,"CXJVH/","שְׁחִיטָה ",,,,,,,,,,,,,,,,,
13,"CXJN/","שְׁחִין ",,,,,,,,,,,,,,,,,
1,"CXJS/","שָׁחִיס ",,,,,,,,,,,,,,,,,
1,"FXJP/","שָׂחִיף ",,,,,,,,,,,,,,,,,
2,"CXJT/","שְׁחִית ",,,,,,,,,,,,,,,,,
7,"CXL/","שַׁחַל ",,,,,,,,,,,,,,,,,
1,"CXLT/","שְׁחֵלֶת ",,,,,,,,,,,,,,,,,
2,"CXP/","שַׁחַף ",,,,,,,,,,,,,,,,,
2,"CXPT/","שַׁחֶפֶת ",,,,,,,,,,,,,,,,,
2,"CXY/","שַׁחַץ ",,,,,,,,,,,,,,,,,
1,"CXYJMH/","שַׁחֲצִימָה ",,,,,,,,,,,,,,,,,
21,"CXQ/","שַׁחַק ","støv, støvsky",,,,,,,,,,,,,,,,
4,"CXQ[","שׁחק ",,,,,,,,,,,,,,,,,
36,"FXQ[","שׂחק ",,"le ad, underholde",,"underholde, lege",,,,,,,,,,,,,
23,"CXR/","שַׁחַר I","daggry",,,,,,,,,,,,,,,,
6,"CXR=/","שָׁחֹר II",,,,,,,,,,,,,,,,,
1,"CXR=[","שׁחר II",,,,,,,,,,,,,,,,,
13,"CXR[","שׁחר I",,,,,,,,,,,,,,,,,
1,"CXRWT/","שַׁחֲרוּת ",,,,,,,,,,,,,,,,,
1,"CXRXR/","שְׁחַרְחֹר ",,,,,,,,,,,,,,,,,
1,"CXRJH/","שְׁחַרְיָה ",,,,,,,,,,,,,,,,,
1,"CXRJM/","שַׁחֲרַיִם ",,,,,,,,,,,,,,,,,
23,"CXT/","שַׁחַת ",,,,,,,,,,,,,,,,,
145,"CXT[","שׁחת ",,,"ødelægges","udslette",,,"ødelægge, fjerne",,,,,,,,,,
1,"FV/","שֵׂט ",,,,,,,,,,,,,,,,,
28,"CVH/","שִׁטָּה ",,,,,,,,,,,,,,,,,
6,"FVH[","שׂטה ",,,,,,,,,,,,,,,,,
6,"CVX[","שׁטח ",,,,,,,,,,,,,,,,,
1,"CVV/","שֹׁטֵט ",,,,,,,,,,,,,,,,,
5,"CVJM/","שִׁטִּים ",,,,,,,,,,,,,,,,,
6,"FVM[","שׂטם ",,,,,,,,,,,,,,,,,
27,"FVN/","שָׂטָן ",,,,,,,,,,,,,,,,,
6,"FVN[","שׂטן ",,,,,,,,,,,,,,,,,
1,"FVNH/","שִׂטְנָה I",,,,,,,,,,,,,,,,,
1,"FVNH=/","שִׂטְנָה II",,,,,,,,,,,,,,,,,
6,"CVP/","שֶׁטֶף ",,,,,,,,,,,,,,,,,
31,"CVP[","שׁטף ",,,,,,,,,,,,,,,,,
25,"CVR[","שׁטר ",,,,,,,,,,,,,,,,,
3,"CJ/","שַׁי ",,,,,,,,,,,,,,,,,
1,"FJ>/","שִׂיא ",,,,,,,,,,,,,,,,,
1,"CJ>N/","שִׁיאֹן ",,,,,,,,,,,,,,,,,
1,"FJ>N/","שִׂיאֹן ",,,,,,,,,,,,,,,,,
1,"FJB/","שֵׂיב ",,,,,,,,,,,,,,,,,
2,"FJB[","שׂיב ",,,,,,,,,,,,,,,,,
2,"CJBH/","שִׁיבָה ",,,,,,,,,,,,,,,,,
19,"FJBH/","שֵׂיבָה ","alderdom, går hår",,,,,,,,,,,,,,,,
1,"FJG/","שִׂיג ",,,,,,,,,,,,,,,,,
4,"FJD/","שִׂיד ",,,,,,,,,,,,,,,,,
2,"FJD[","שׂיד ",,,,,,,,,,,,,,,,,
1,"CJH[","שׁיה ",,,,,,,,,,,,,,,,,
1,"CJZ>/","שִׁיזָא ",,,,,,,,,,,,,,,,,
5,"CJX[","שׁיח ",,,,,,,,,,,,,,,,,
4,"FJX/","שִׂיחַ I","buske",,,,,,,,,,,,,,,,
14,"FJX=/","שִׂיחַ II","noget bekymrende, noget interessant",,,,,,,,,,,,,,,,
20,"FJX[","שׂיח ",,,,"tænke over",,,,,,,,,,,,,
2,"CJXH/","שִׁיחָה ",,,,,,,,,,,,,,,,,
3,"FJXH/","שִׂיחָה ",,,,,,,,,,,,,,,,,
4,"CJXWR/","שִׁיחֹור ",,,,,,,,,,,,,,,,,
1,"CJXWR_LBNT/","שִׁיחֹור לִבְנָת ",,,,,,,,,,,,,,,,,
1,"CJV/","שַׁיִט ",,,,,,,,,,,,,,,,,
7,"CJLNJ/","שִׁילֹנִי ",,,,,,,,,,,,,,,,,
583,"FJM[","שׂים ",,"placere, anbringe ",,,,,"placere, gøre til","placeres",,,,,,,,,
1,"CJMWN/","שִׁימֹון ",,,,,,,,,,,,,,,,,
76,"CJR/","שִׁיר ","sang",,,,,,,,,,,,,,,,
88,"CJR[","שׁיר ",,"synge",,,,,,,,,,,,,,,
13,"CJRH/","שִׁירָה ",,,,,,,,,,,,,,,,,
1,"CJC/","שַׁיִשׁ ",,,,,,,,,,,,,,,,,
1,"CJC>/","שִׁישָׁא ",,,,,,,,,,,,,,,,,
7,"CJCQ/","שִׁישָׁק ",,,,,,,,,,,,,,,,,
7,"CJT/","שַׁיִת I","ukrudt",,,,,,,,,,,,,,,,
2,"CJT=/","שִׁית II",,,,,,,,,,,,,,,,,
85,"CJT[","שׁית ",,"placere, anbringe",,,,,,"pålægges",,,,,,,,,
1,"FK/","שֵׂךְ I",,,,,,,,,,,,,,,,,
1,"FK=/","שֹׂךְ II",,,,,,,,,,,,,,,,,
212,"CKB[","שׁכב ",,"ligge ned, have sex",,,,,,,,,,,,,,,
9,"CKBH/","שִׁכְבָה ",,,,,,,,,,,,,,,,,
4,"CKBT/","שְׁכֹבֶת ",,,,,,,,,,,,,,,,,
1,"CKH[","שׁכה ",,,,,,,,,,,,,,,,,
1,"FKH/","שֻׂכָּה ",,,,,,,,,,,,,,,,,
1,"FKW/","שֶׂכוּ ",,,,,,,,,,,,,,,,,
1,"FKWJ/","שֶׂכְוִי ",,,,,,,,,,,,,,,,,
3,"CKWL/","שְׁכֹול I",,,,,,,,,,,,,,,,,
6,"CKWL=/","שַׁכּוּל II",,,,,,,,,,,,,,,,,
1,"CKWL==/","שָׁכוּל III",,,,,,,,,,,,,,,,,
13,"CKWR/","שִׁכֹּור ",,,,,,,,,,,,,,,,,
104,"CKX[","שׁכח ",,,,,,,,,,,,,,,,,
1,"FKJH/","שְׂכִיָּה I",,,,,,,,,,,,,,,,,
1,"FKJH=/","שָׂכְיָה II",,,,,,,,,,,,,,,,,
1,"FKJN/","שַׂכִּין ",,,,,,,,,,,,,,,,,
18,"FKJR/","שָׂכִיר ","daglejer, lejesoldat",,,,,,,,,,,,,,,,
5,"CKK[","שׁכך ",,,,,,,,,,,,,,,,,
1,"FKK[","שׂכך ",,,,,,,,,,,,,,,,,
24,"CKL[","שׁכל ",,,,,,,,,,,,,,,,,
16,"FKL/","שֶׂכֶל ",,,,,,,,,,,,,,,,,
1,"FKL=[","שׂכל II",,,,,,,,,,,,,,,,,
61,"FKL[","שׂכל I",,,,,,,"forstå",,,,,,,,,,
1,"FKLWT/","שִׂכְלוּת ",,,,,,,,,,,,,,,,,
1,"CKLJM/","שִׁכֻּלִים ",,,,,,,,,,,,,,,,,
22,"CKM/","שְׁכֶם I",,,,,,,,,,,,,,,,,
50,"CKM=/","שְׁכֶם II",,,,,,,,,,,,,,,,,
13,"CKM==/","שְׁכֶם III",,,,,,,,,,,,,,,,,
3,"CKM===/","שֶׁכֶם IV",,,,,,,,,,,,,,,,,
65,"CKM[","שׁכם ",,,,,,,"stå tidligt op, gå i gang tidligt om morgenen  ",,,,,,,,,,
1,"CKMJ/","שִׁכְמִי ",,,,,,,,,,,,,,,,,
20,"CKN/","שָׁכֵן ",,,,,,,,,,,,,,,,,
129,"CKN[","שׁכן ",,"bo, boætte sig",,,,,"placere",,,,,,,,,,
8,"CKNJH/","שְׁכַנְיָה ",,,,,,,,,,,,,,,,,
2,"CKNJHW/","שְׁכַנְיָהוּ ",,,,,,,,,,,,,,,,,
1,"CKR/","שָׁכֻר I",,,,,,,,,,,,,,,,,
23,"CKR=/","שֵׁכָר II",,,,,,,,,,,,,,,,,
18,"CKR[","שׁכר ",,,,,,,,,,,,,,,,,
28,"FKR/","שָׂכָר I","løn, belønning",,,,,,,,,,,,,,,,
2,"FKR=/","שֶׂכֶר II",,,,,,,,,,,,,,,,,
2,"FKR==/","שָׂכָר III",,,,,,,,,,,,,,,,,
20,"FKR[","שׂכר ",,,,,,,,,,,,,,,,,
3,"CKRWN/","שִׁכָּרֹון I",,,,,,,,,,,,,,,,,
1,"CKRWN=/","שִׁכְּרֹון II",,,,,,,,,,,,,,,,,
1,"CL/","שַׁל ",,,,,,,,,,,,,,,,,
1,"CL>NN/","שַׁלְאֲנַן ",,,,,,,,,,,,,,,,,
3,"CLB/","שָׁלָב ",,,,,,,,,,,,,,,,,
2,"CLB[","שׁלב ",,,,,,,,,,,,,,,,,
19,"CLG/","שֶׁלֶג I","sne",,,,,,,,,,,,,,,,
1,"CLG=/","שֶׁלֶג II",,,,,,,,,,,,,,,,,
1,"CLG[","שׁלג ",,,,,,,,,,,,,,,,,
21,"CLH/","שִׁלֹה I",,,,,,,,,,,,,,,,,
8,"CLH=/","שֵׁלָה II",,,,,,,,,,,,,,,,,
8,"CLH[","שׁלה ",,,,,,,,,,,,,,,,,
2,"CLHBT/","שַׁלְהֶבֶת ",,,,,,,,,,,,,,,,,
1,"CLHBTJH/","שַׁלְהֶבֶתְיָה ",,,,,,,,,,,,,,,,,
1,"CLW/","שָׁלוּ I",,,,,,,,,,,,,,,,,
12,"CLW=/","שִׁלֹו II",,,,,,,,,,,,,,,,,
4,"FLW/","שְׂלָו ",,,,,,,,,,,,,,,,,
8,"CLWH/","שַׁלְוָה ",,,,,,,,,,,,,,,,,
3,"CLWXJM/","שִׁלּוּחִים ",,,,,,,,,,,,,,,,,
237,"CLWM/","שָׁלֹום I","fred, velbefindende, helbred",,,,,,,,,,,,,,,,
3,"CLWM=/","שִׁלּוּם II",,,,,,,,,,,,,,,,,
27,"CLWM==/","שַׁלּוּם III",,,,,,,,,,,,,,,,,
1,"CLWN/","שַׁלּוּן ",,,,,,,,,,,,,,,,,
7,"CLX/","שֶׁלַח I",,,,,,,,,,,,,,,,,
1,"CLX=/","שֶׁלַח II",,,,,,,,,,,,,,,,,
9,"CLX==/","שֶׁלַח III",,,,,,,,,,,,,,,,,
1,"CLX===/","שִׁלֹחַ IV",,,,,,,,,,,,,,,,,
847,"CLX[","שׁלח ",,"sende","blive sendt","lade gå, strække ud, sende","blive sluppet løs, sendt, forladt",,"slippe løs",,,,,,,,,,
1,"CLXWT/","שְׁלֻחֹות ",,,,,,,,,,,,,,,,,
2,"CLXJ/","שִׁלְחִי ",,,,,,,,,,,,,,,,,
1,"CLXJM/","שְׁלָחִים I",,,,,,,,,,,,,,,,,
1,"CLXJM=/","שִׁלְחִים II",,,,,,,,,,,,,,,,,
71,"CLXN/","שֻׁלְחָן ","bord, alterbord",,,,,,,,,,,,,,,,
7,"CLV/","שֶׁלֶט ",,,,,,,,,,,,,,,,,
8,"CLV[","שׁלט ",,,,,,,,,,,,,,,,,
2,"CLVWN/","שִׁלְטֹון ",,,,,,,,,,,,,,,,,
1,"CLVT/","שַׁלֶּטֶת ",,,,,,,,,,,,,,,,,
1,"CLJ/","שְׁלִי ",,,,,,,,,,,,,,,,,
1,"CLJH/","שִׁלְיָה ",,,,,,,,,,,,,,,,,
