"Occurrences","Lexeme","Part of speech","Gloss"
5,"concupisco","verb",""
7,"concurro","verb",""
1,"concursio","noun",""
2,"concursus","noun",""
1,"concutio","verb",""
1,"condelector","verb",""
3,"condemnatio","noun",""
16,"condemno","verb",""
1,"condignus","adjective",""
2,"condio","verb",""
1,"condiscipulus","noun",""
3,"condo","verb",""
2,"conduco","verb",""
1,"conductum","noun",""
1,"conecto","verb",""
8,"confero","verb",""
1,"confertus","adjective",""
2,"confessio","noun",""
27,"confestim","adverb",""
5,"confidentia","noun",""
22,"confido","verb",""
1,"configo","verb",""
1,"configuro","verb",""
1,"confirmatio","noun",""
25,"confirmo","verb",""
24,"confiteor","verb",""
1,"conformis","adjective",""
1,"conformo","verb",""
9,"conforto","verb",""
1,"confrico","verb",""
4,"confringo","verb",""
1,"confugio","verb",""
16,"confundo","verb",""
5,"confusio","noun",""
2,"congaudeo","verb",""
1,"congero","verb",""
1,"conglorifico","verb",""
5,"congratulor","verb",""
1,"congregatio","noun",""
47,"congrego","verb",""
1,"coniunctio","noun",""
5,"coniungo","verb",""
2,"coniunx","noun",""
1,"coniuratio","noun",""
1,"connumero","verb",""
3,"conor","verb",""
1,"conquasso","verb",""
6,"conquiro","verb",""
1,"conquisitio","noun",""
1,"conquisitor","noun",""
1,"conrumpo","verb",""
18,"conscientia","noun",""
1,"conscindo","verb",""
2,"conscius","adjective",""
1,"consedo","verb",""
2,"consensus","noun",""
17,"consentio","verb",""
1,"consepelio","verb",""
12,"consequor","verb",""
7,"conservo","verb",""
9,"conservus","noun",""
13,"considero","verb",""
1,"consiliarius","noun",""
28,"consilium","noun",""
15,"consolatio","noun",""
1,"consolido","verb",""
24,"consolor","verb",""
1,"consparsio","noun",""
29,"conspectus","noun",""
1,"conspicio","verb",""
1,"conspiro","verb",""
4,"conspuo","verb",""
1,"constans","adjective",""
3,"constanter","adverb",""
1,"constantia","noun",""
1,"consterno","verb",""
29,"constituo","verb",""
6,"constitutio","noun",""
1,"consto","verb",""
2,"construo","verb",""
2,"consuesco","verb",""
11,"consuetudo","noun",""
1,"consul","noun",""
7,"consummatio","noun",""
35,"consummo","verb",""
3,"consumo","verb",""
4,"consurgo","verb",""
1,"contaminatio","noun",""
1,"contamino","verb",""
6,"contemno","verb",""
1,"contemplo","verb",""
3,"contemptibilis","adjective",""
1,"contemptor","noun",""
6,"contendo","verb",""
1,"contenebro","verb",""
12,"contentio","noun",""
1,"contentiosus","adjective",""
2,"contentus","adjective",""
2,"contero","verb",""
1,"conterreo","verb",""
2,"contestor","verb",""
1,"contexo","verb",""
1,"continentia","noun",""
7,"contineo","verb",""
11,"contingo","verb",""
27,"continuo","adverb",""
1,"continuus","adjective",""
1,"contionor","verb",""
3,"contra","adverb",""
30,"contra","preposition",""
11,"contradico","verb",""
1,"contradictio","noun",""
4,"contrarius","adjective",""
1,"contrecto","verb",""
1,"contribulis","noun",""
26,"contristo","verb",""
1,"contristor","verb",""
1,"contritio","noun",""
1,"contubernium","noun",""
10,"contumelia","noun",""
1,"contumeliosus","adjective",""
7,"conturbo","verb",""
1,"convalesco","verb",""
47,"convenio","verb",""
2,"conventio","noun",""
1,"conventus","noun",""
2,"conversatio","noun",""
1,"conversio","noun",""
7,"conversor","verb",""
49,"converto","verb",""
1,"convescor","verb",""
1,"convicior","verb",""
1,"convinco","verb",""
2,"convivifico","verb",""
4,"convivium","noun",""
1,"convivo","verb",""
1,"convivor","verb",""
22,"convoco","verb",""
2,"cooperator","noun",""
4,"cooperio","verb",""
3,"cooperor","verb",""
8,"copiosus","adjective",""
130,"cor","noun",""
61,"coram","preposition",""
2,"Corazain","proper_noun",""
1,"corban","foreign_word",""
1,"corbanas","noun",""
3,"coriarius","noun",""
2,"Corinthii","noun",""
6,"Corinthus","proper_noun",""
8,"Cornelius","proper_noun",""
11,"cornu","noun",""
16,"corona","noun",""
2,"corporalis","adjective",""
1,"corporaliter","adverb",""
131,"corpus","noun",""
3,"correptio","noun",""
1,"corresuscito","verb",""
3,"corrigia","noun",""
2,"corrigo","verb",""
8,"corripio","verb",""
1,"corroboro","verb",""
10,"corrumpo","verb",""
3,"corruptibilis","adjective",""
9,"corruptio","noun",""
1,"corusco","verb",""
1,"corvus","noun",""
1,"Cosa","proper_noun",""
3,"cottidianus","adjective",""
14,"cottidie","adverb",""
1,"coutor","verb",""
1,"crapula","noun",""
6,"cras","adverb",""
8,"crastinus","adjective",""
1,"creator","noun",""
18,"creatura","noun",""
1,"crebro","adverb",""
235,"credo","verb",""
8,"creo","verb",""
1,"crepo","verb",""
1,"Cres","noun",""
1,"Crescens","proper_noun",""
17,"cresco","verb",""
5,"Creta","proper_noun",""
1,"Cretenses","noun",""
1,"cribro","verb",""
7,"crimen","noun",""
2,"Crispus","proper_noun",""
3,"cristallus","noun",""
2,"cruciatus","noun",""
49,"crucifigo","verb",""
7,"crucio","verb",""
3,"crus","noun",""
27,"crux","noun",""
3,"cubiculum","noun",""
2,"cubile","noun",""
4,"cubitum","noun",""
1,"culex","noun",""
4,"cultor","noun",""
1,"cultrix","noun",""
1,"cultura","noun",""
528,"cum","preposition",""
13,"cum","relative_adverb",""
627,"cum","subjunction",""
1,"cumi","foreign_word",""
1,"cuminum","noun",""
7,"cumque","subjunction",""
4,"cunctus","adjective",""
1,"cupide","adverb",""
1,"cupiditas","noun",""
2,"cupidus","adjective",""
6,"cupio","verb",""
2,"cur","adverb",""
11,"cura","noun",""
2,"curatio","noun",""
1,"curiose","adverb",""
1,"curiosus","adjective",""
41,"curo","verb",""
17,"curro","verb",""
4,"currus","noun",""
5,"cursus","noun",""
1,"curvo","verb",""
12,"custodia","noun",""
37,"custodio","verb",""
9,"custos","noun",""
1,"cymbalum","noun",""
3,"Cyprius","adjective",""
