"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1,">HLJBMH=/","אָהֳלִיבָמָה II","ʔāhᵒlîvāmāʰ","Oholibamah",,,,,,,,,,,,,,,,
347,">HRN/","אַהֲרֹן ","ʔahᵃrōn","Aaron",,,,,,,,,,,,,,,,
320,">W","אֹו ","ʔô","or, or even",,,,,,,,,,,,,,,,
1,">W>L/","אוּאֵל ","ʔûʔēl","Uel",,,,,,,,,,,,,,,,
16,">WB/","אֹוב I","ʔôv","spirit of the dead; necromancy",,,,,,,,,,,,,,,,
1,">WB=/","אֹוב II","ʔôv","water bag",,,,,,,,,,,,,,,,
1,">WBJL/","אֹובִיל ","ʔôvîl","Obil",,,,,,,,,,,,,,,,
3,">WD/","אוּד ","ʔûd","firebrand",,,,,,,,,,,,,,,,
11,">WDWT/","אֹודֹות ","ʔôdôt","because (conj); on account of (prep)",,,,,,,,,,,,,,,,
7,">WH/","אַוָּה ","ʔawwāʰ","desire",,,,,,,,,,,,,,,,
27,">WH[","אוה ","ʔWH",,,,"wish",,"desire",,,,,,,,,,,
1,">WZJ/","אוּזַי ","ʔûzay","Uzai",,,,,,,,,,,,,,,,
3,">WZL/","אוּזָל ","ʔûzāl","Uzal",,,,,,,,,,,,,,,,
24,">WJ","אֹוי ","ʔôy","woe",,,,,,,,,,,,,,,,
2,">WJ/","אֱוִי ","ʔᵉwî","Evi",,,,,,,,,,,,,,,,
1,">WJH","אֹויָה ","ʔôyāʰ","woe",,,,,,,,,,,,,,,,
26,">WJL/","אֱוִיל ","ʔᵉwîl","foolish (adj); fool, simpleton (n)",,,,,,,,,,,,,,,,
2,">WJL_MRDK/","אֱוִיל מְרֹדַךְ ","ʔᵉwîl mᵊrōdax","Evil-Merodach",,,,,,,,,,,,,,,,
1,">WL/","אוּל ","ʔûl","body, belly",,,,,,,,,,,,,,,,
45,">WLJ","אוּלַי ","ʔûlay","perhaps",,,,,,,,,,,,,,,,
1,">WLJ/","אֱוִלִי I","ʔᵉwilî","foolish",,,,,,,,,,,,,,,,
2,">WLJ=/","אוּלַי II","ʔûlay","Ulai",,,,,,,,,,,,,,,,
19,">WLM","אוּלָם ","ʔûlām","on the other hand, however",,,,,,,,,,,,,,,,
4,">WLM/","אוּלָם ","ʔûlām","Ulam",,,,,,,,,,,,,,,,
25,">WLT/","אִוֶּלֶת ","ʔiwwelet","foolishness",,,,,,,,,,,,,,,,
3,">WMR/","אֹומָר ","ʔômār","Omar",,,,,,,,,,,,,,,,
11,">WN/","אֹון I","ʔôn","power, strength, wealth",,,,,,,,,,,,,,,,
78,">WN=/","אָוֶן II","ʔāwen","wickedness, iniquity",,,,,,,,,,,,,,,,
1,">WN===/","אֹון IV","ʔôn","On",,,,,,,,,,,,,,,,
1,">WN====/","אָוֶן V","ʔāwen","On",,,,,,,,,,,,,,,,
5,">WNW/","אֹונֹו ","ʔônô","Ono",,,,,,,,,,,,,,,,
4,">WNM/","אֹונָם ","ʔônām","Onam",,,,,,,,,,,,,,,,
8,">WNN/","אֹונָן ","ʔônān","Onan",,,,,,,,,,,,,,,,
