"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
17,">XR[","אחר ","ʔḤR",,"verblijven",,"(iemand) ophouden, (lang) verblijven, aarzelen",,,"te laat zijn",,,,,,,,,,
51,">XRWN/","אַחֲרֹון ","ʔaḥᵃrôn","achter",,,,,,,,,,,,,,,,
1,">XRX/","אַחְרַח ","ʔaḥraḥ","Achrach",,,,,,,,,,,,,,,,
1,">XRXL/","אֲחַרְחֵל ","ʔᵃḥarḥēl","Acharchel",,,,,,,,,,,,,,,,
61,">XRJT/","אַחֲרִית ","ʔaḥᵃrît","eindem uitgang, toekomst",,,,,,,,,,,,,,,,
7,">XRNJT","אֲחֹרַנִּית ","ʔᵃḥōrannît","achteruit (gaan)",,,,,,,,,,,,,,,,
4,">XCDRPN/","אֲחַשְׁדַּרְפָּן ","ʔᵃḥašdarpān","satraap (stadhouder in Perzische rijk)",,,,,,,,,,,,,,,,
31,">XCWRWC/","אֲחַשְׁוֵרֹושׁ ","ʔᵃḥašwērôš","Ahasveros",,,,,,,,,,,,,,,,
1,">XCTRJ/","אֲחַשְׁתָּרִי ","ʔᵃḥaštārî","Achastar",,,,,,,,,,,,,,,,
2,">XCTRN/","אֲחַשְׁתְּרָן ","ʔᵃḥaštᵊrān","koninklijk",,,,,,,,,,,,,,,,
5,">V/","אַט ","ʔaṭ","bedrukte stemming, zachtheid",,,,,,,,,,,,,,,,
4,">VD/","אָטָד ","ʔāṭād","boksdoorn",,,,,,,,,,,,,,,,
1,">VWN/","אֵטוּן ","ʔēṭûn","linnen",,,,,,,,,,,,,,,,
1,">VJM/","אִטִּים ","ʔiṭṭîm","dodengeesten",,,,,,,,,,,,,,,,
8,">VM[","אטם ","ʔṬM",,"(oor) sluiten voor",,,,,,,,,,,,,,,
2,">VR/","אִטֵּר I","ʔiṭṭēr","linkshandig",,,,,,,,,,,,,,,,
5,">VR=/","אָטֵר II","ʔāṭēr","Ater",,,,,,,,,,,,,,,,
1,">VR[","אטר ","ʔṬR",,"sluiten",,,,,,,,,,,,,,,
39,">J","אֵי I","ʔê","waar, wat",,,,,,,,,,,,,,,,
36,">J/","אִי I","ʔî","kust, eiland",,,,,,,,,,,,,,,,
2,">J=","אִי II","ʔî","hoe",,,,,,,,,,,,,,,,
3,">J=/","אִי II","ʔî","jakhals",,,,,,,,,,,,,,,,
1,">J==","אִי III","ʔî","niet",,,,,,,,,,,,,,,,
283,">JB[","איב ","ʔYV",,"vijandig bejegenen",,,,,,,,,,,,,,,
5,">JBH/","אֵיבָה ","ʔêvāʰ","vijandschap",,,,,,,,,,,,,,,,
24,">JD/","אֵיד ","ʔêd","ongeluk",,,,,,,,,,,,,,,,
45,">JH","אַיֵּה ","ʔayyēʰ","waar?",,,,,,,,,,,,,,,,
3,">JH/","אַיָּה I","ʔayyāʰ","zwarte wouw",,,,,,,,,,,,,,,,
6,">JH=/","אַיָּה II","ʔayyāʰ","Ajja",,,,,,,,,,,,,,,,
58,">JWB/","אִיֹּוב ","ʔiyyôv","Job",,,,,,,,,,,,,,,,
22,">JZBL/","אִיזֶבֶל ","ʔîzevel","Izebel",,,,,,,,,,,,,,,,
61,">JK","אֵיךְ ","ʔêx","hoe?",,,,,,,,,,,,,,,,
2,">JKBWD/","אִיכָבֹוד ","ʔîxāvôd","Ichabod",,,,,,,,,,,,,,,,
17,">JKH","אֵיכָה I","ʔêxāʰ","hoe, wat",,,,,,,,,,,,,,,,
1,">JKH=","אֵיכֹה II","ʔêxōʰ","waar",,,,,,,,,,,,,,,,
4,">JKKH","אֵיכָכָה ","ʔêxāxāʰ","hoe",,,,,,,,,,,,,,,,
11,">JL/","אַיָּל I","ʔayyāl","damhert",,,,,,,,,,,,,,,,
163,">JL=/","אַיִל II","ʔayil","ram",,,,,,,,,,,,,,,,
3,">JL==/","אַיִל III","ʔayil","? boom",,,,,,,,,,,,,,,,
22,">JL===/","אַיִל IV","ʔayil","deurkozijn",,,,,,,,,,,,,,,,
1,">JL====/","אֱיָל V","ʔᵉyāl","kracht",,,,,,,,,,,,,,,,
1,">JL_P>RN/","אֵיל פָּארָן ","ʔêl pāˀrān","El-Paran",,,,,,,,,,,,,,,,
8,">JLH/","אַיָּלָה ","ʔayyālāʰ","hinde",,,,,,,,,,,,,,,,
4,">JLWN/","אֵילֹון I","ʔêlôn","Elon",,,,,,,,,,,,,,,,
2,">JLWN=/","אֵילֹון II","ʔêlôn","Elon",,,,,,,,,,,,,,,,
