"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
4,"SBKJ/","סִבְּכַי ","sibbᵊxay","Sibbechai",,,,,,,,,,,,,,,,
5,"SBL/","סַבָּל I","sabbāl","Lasttrager",,,,,,,,,,,,,,,,
3,"SBL=/","סֵבֶל II","sēvel","Last, Frondienst",,,,,,,,,,,,,,,,
3,"SBL==/","סֹבֶל III","sōvel","Last",,,,,,,,,,,,,,,,
9,"SBL[","סבל ","SVL",,"tragen",,,"beladen sein","sich dahinschleppen",,,,,,,,,,,
6,"SBLWT/","סִבְלֹות ","sivlôt","Last, Frondienst",,,,,,,,,,,,,,,,
1,"SBLT/","סִבֹּלֶת ","sibbōlet","Ähre",,,,,,,,,,,,,,,,
1,"SBRJM/","סִבְרַיִם ","sivrayim","Sibrajim",,,,,,,,,,,,,,,,
2,"SBT>/","סַבְתָּא ","savtāˀ","Sabta",,,,,,,,,,,,,,,,
2,"SBTK>/","סַבְתְּכָא ","savtᵊxāˀ","Sabtecha",,,,,,,,,,,,,,,,
4,"SGD[","סגד ","SGD",,"sich beugen",,,,,,,,,,,,,,,
8,"SGWR/","סָגוּר I","sāgûr","lauteres Gold",,,,,,,,,,,,,,,,
2,"SGWR=/","סְגֹור II","sᵊgôr","Verschluss",,,,,,,,,,,,,,,,
8,"SGLH/","סְגֻלָּה ","sᵊgullāʰ","Eigentum",,,,,,,,,,,,,,,,
17,"SGN/","סָגָן ","sāgān","Statthalter, Vorsteher",,,,,,,,,,,,,,,,
83,"SGR[","סגר ","SGR",,"schließen, verschließen","sich einschließen, geschlossen werden","ausliefern","verschlossen werden",,"ausliefern, absondern",,,,,,,,,,
1,"SGRJR/","סַגְרִיר ","sagrîr","heftiger Regen",,,,,,,,,,,,,,,,
2,"SD/","סַד ","sad","Fußblock",,,,,,,,,,,,,,,,
4,"SDJN/","סָדִין ","sādîn","Untergewand",,,,,,,,,,,,,,,,
39,"SDM/","סְדֹם ","sᵊdōm","Sodom",,,,,,,,,,,,,,,,
1,"SDR/","סֵדֶר ","sēder","Ordnung",,,,,,,,,,,,,,,,
8,"SHR/","סֹהַר I","sōhar","Gefängnis",,,,,,,,,,,,,,,,
1,"SHR=/","סַהַר II","sahar","Einfriedung",,,,,,,,,,,,,,,,
1,"SW>/","סֹוא ","sôʔ","So",,,,,,,,,,,,,,,,
1,"SWG=[","סוג II","SWG",,"umhegen",,,,,,,,,,,,,,,
25,"SWG[","סוג I","SWG",,"abweichen","sich zurückziehen",,,,"versetzen","fortgetrieben werden",,,,,,,,,
